CustomerID,PageViews,TimeOnSite,ProductsViewed,CartAdds,Purchases,BounceRate,ReferralSource,DeviceType
1,12,375.12,9,0,0,0.59,Organic,Mobile
2,6,303.7,3,0,1,0.91,Paid,Tablet
3,11,381.43,11,9,0,0.21,Email,Mobile
4,14,230.99,6,8,0,0.62,Direct,Desktop
5,7,214.83,2,6,1,0.63,Social,Tablet
6,8,297.22,7,0,0,0.73,Paid,Tablet
7,9,319.2,18,7,1,0.13,Email,Desktop
8,11,298.37,2,2,1,0.72,Social,Tablet
9,8,196.63,17,7,0,0.91,Social,Tablet
10,10,295.54,11,4,0,0.18,Paid,Desktop
11,7,234.78,12,0,0,0.24,Organic,Tablet
12,11,333.48,19,6,1,0.97,Paid,Desktop
13,11,318.33,7,4,1,0.18,Email,Desktop
14,8,253.01,6,5,1,0.85,Social,Mobile
15,12,274.31,1,5,0,0.49,Paid,Mobile
16,6,247.04,17,7,1,0.25,Organic,Tablet
17,7,296.87,11,8,0,0.87,Paid,Tablet
18,8,347.76,18,1,1,0.45,Direct,Desktop
19,10,250.71,17,8,0,0.51,Organic,Tablet
20,5,325.2,7,9,1,0.36,Email,Desktop
21,3,273.49,17,8,0,0.59,Social,Desktop
22,9,260.36,9,9,1,0.16,Paid,Tablet
23,13,294.65,17,9,0,0.39,Organic,Desktop
24,8,248.24,8,6,1,0.97,Direct,Mobile
25,6,272.32,17,0,1,0.26,Organic,Tablet
26,13,240.11,7,6,0,0.66,Direct,Mobile
27,12,398.24,1,9,1,0.33,Email,Tablet
28,13,301.76,13,4,1,0.77,Social,Desktop
29,9,265.01,19,5,0,0.13,Email,Tablet
30,14,310.7,19,9,0,0.97,Paid,Mobile
31,8,294.38,17,6,1,0.45,Organic,Desktop
32,8,288.95,13,4,0,0.24,Direct,Tablet
33,12,330.71,16,6,0,0.07,Direct,Tablet
34,15,337.88,8,8,0,0.17,Organic,Tablet
35,13,273.47,19,2,1,0.52,Organic,Mobile
36,13,271.21,18,7,0,0.34,Paid,Mobile
37,10,286.25,1,1,1,0.83,Email,Tablet
38,8,184.9,14,6,1,0.43,Direct,Desktop
39,15,224.24,19,1,1,0.25,Paid,Desktop
40,9,368.34,15,3,1,0.62,Email,Mobile
41,7,382.25,18,6,0,0.71,Paid,Desktop
42,8,287.55,2,2,1,0.17,Direct,Mobile
43,13,328.83,17,1,0,0.17,Organic,Tablet
44,15,315.56,18,9,0,0.04,Organic,Mobile
45,8,453.94,6,6,0,0.74,Email,Mobile
46,7,355.98,19,0,0,0.66,Social,Tablet
47,9,293.6,4,7,1,0.47,Email,Desktop
48,6,252.22,1,2,1,0.84,Social,Mobile
49,16,219.68,8,1,0,0.81,Paid,Mobile
50,10,310.17,7,2,0,0.59,Paid,Tablet
51,18,262.18,3,4,1,0.87,Direct,Desktop
52,10,228.89,10,7,0,0.21,Social,Mobile
53,8,267.67,10,9,0,0.11,Direct,Tablet
54,11,245.92,19,6,0,0.27,Organic,Mobile
55,3,384.36,14,6,1,0.06,Social,Tablet
56,15,344.08,2,6,1,0.53,Email,Desktop
57,6,299.6,1,7,0,0.94,Organic,Desktop
58,7,374.0,18,0,0,0.04,Organic,Desktop
59,9,303.87,7,3,1,0.12,Email,Desktop
60,11,256.94,8,5,1,0.45,Organic,Mobile
61,8,376.16,1,8,0,0.93,Social,Mobile
62,12,326.95,3,1,1,0.32,Direct,Desktop
63,10,248.14,8,0,0,0.51,Organic,Desktop
64,11,290.48,15,9,0,0.04,Social,Desktop
65,12,256.22,5,1,1,0.15,Paid,Mobile
66,16,230.86,3,6,0,0.99,Social,Desktop
67,8,346.31,19,2,1,0.97,Direct,Desktop
68,7,395.47,1,9,0,0.0,Social,Desktop
69,13,230.07,15,1,0,0.95,Email,Tablet
70,10,328.15,8,6,1,0.64,Direct,Desktop
71,15,267.47,2,1,0,0.87,Paid,Tablet
72,8,275.64,3,2,1,0.45,Email,Tablet
73,11,270.38,14,6,0,0.52,Social,Desktop
74,11,256.8,14,3,0,0.49,Direct,Tablet
75,5,302.43,11,0,0,0.67,Paid,Desktop
76,10,258.45,16,4,1,0.14,Email,Mobile
77,11,313.52,4,8,0,0.03,Paid,Mobile
78,12,297.49,5,7,1,0.31,Social,Mobile
79,8,288.05,14,8,0,0.7,Paid,Mobile
80,11,254.62,16,9,1,0.2,Organic,Tablet
81,11,271.16,18,8,0,0.67,Email,Desktop
82,5,337.77,7,6,1,0.97,Paid,Desktop
83,8,325.05,10,3,1,0.09,Social,Desktop
84,13,251.12,7,4,1,0.67,Social,Mobile
85,11,304.97,1,0,1,0.44,Paid,Mobile
86,7,337.57,19,0,1,0.87,Social,Desktop
87,8,216.53,16,2,1,0.18,Direct,Mobile
88,11,327.17,19,7,0,0.69,Direct,Desktop
89,15,266.87,4,1,0,0.84,Direct,Desktop
90,8,328.53,18,3,1,0.94,Organic,Desktop
91,14,261.84,2,1,1,0.68,Paid,Desktop
92,6,209.76,1,4,1,0.5,Organic,Desktop
93,16,218.62,15,8,0,0.62,Social,Desktop
94,11,302.4,5,0,0,0.87,Organic,Desktop
95,6,312.99,11,4,0,0.57,Social,Mobile
96,14,254.78,10,8,1,0.03,Social,Desktop
97,12,331.93,2,0,0,0.93,Email,Desktop
98,9,216.92,3,8,0,0.69,Direct,Mobile
99,10,296.7,12,7,0,0.68,Social,Mobile
100,13,239.45,5,3,0,0.22,Email,Mobile
101,15,267.41,5,9,0,0.66,Direct,Desktop
102,9,302.37,6,4,0,0.39,Social,Tablet
103,11,256.98,9,4,1,0.65,Social,Tablet
104,10,280.77,2,5,0,0.11,Organic,Mobile
105,8,350.31,12,6,0,0.66,Organic,Tablet
106,1,271.16,3,7,0,1.0,Direct,Mobile
107,13,341.78,12,7,0,0.05,Social,Desktop
108,6,243.51,17,1,0,0.98,Paid,Tablet
109,13,326.49,10,8,0,0.41,Organic,Desktop
110,11,372.08,14,6,1,0.87,Direct,Tablet
111,10,176.42,17,3,0,0.78,Social,Desktop
112,10,260.16,18,3,1,0.57,Social,Tablet
113,13,328.85,19,7,1,0.74,Paid,Desktop
114,9,289.85,17,3,1,0.88,Direct,Desktop
115,9,318.56,14,5,0,0.4,Social,Tablet
116,6,269.8,9,4,0,0.33,Organic,Desktop
117,10,304.33,8,2,0,0.67,Paid,Desktop
118,12,292.22,2,9,0,0.81,Direct,Desktop
119,17,358.39,13,1,1,0.76,Paid,Tablet
120,10,312.72,7,8,0,0.8,Organic,Tablet
121,9,316.88,9,9,0,0.44,Direct,Desktop
122,9,279.41,11,8,1,0.82,Paid,Desktop
